epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,1.256042702627182,0.548525,0.976869025182724,0.6548,0.0001,75.14917588233948
2,0.8204777073919773,0.7159,0.7930484789133072,0.7261,9.994157962595087e-05,78.42473006248474
3,0.6333425379633904,0.782225,0.6015677130699157,0.7915,9.976645924360157e-05,99.73179221153259
4,0.5056759456753731,0.825525,0.5507118944048881,0.8117,9.947506073329191e-05,101.11840796470642
5,0.39799202942103146,0.8634,0.5674626847147941,0.8064,9.906808609955669e-05,104.69189929962158
6,0.31134185042604806,0.8936,0.6102360290691257,0.8044,9.85465157799354e-05,104.09178733825684
7,0.23803102403245865,0.91775,0.5642757004231215,0.8213,9.791160628301213e-05,103.11188817024231
8,0.1800325016843155,0.938525,0.6118949533283711,0.8126,9.716488716137651e-05,102.05765962600708
9,0.14226116644283757,0.951825,0.6749980597451329,0.8078,9.630815732679742e-05,97.48346996307373
10,0.11020747106540948,0.963475,0.6140834576062858,0.827,9.534348071648703e-05,102.70567846298218
11,0.09685002214787528,0.967775,0.6491866883292794,0.8182,9.427318132089523e-05,105.28811383247375
12,0.08224436032122466,0.972775,0.6528540741622448,0.8257,9.309983758501321e-05,102.1971333026886
13,0.07464411494759843,0.9744,0.7874160189837217,0.8084,9.182627619667347e-05,102.72890639305115
14,0.0667087707717903,0.9773,0.6387686389707029,0.831,9.04555652768113e-05,99.29869675636292
15,0.05958302341561066,0.980425,0.6633124399412423,0.8304,8.899100698809275e-05,106.3086462020874
16,0.051807368747435974,0.982825,0.6543011692479253,0.8319,8.743612957971554e-05,107.86436533927917
17,0.048491493087692655,0.984625,0.6508820488644764,0.8379,8.579467888754756e-05,103.94366192817688
18,0.04387987379509723,0.985725,0.6802557588338852,0.8368,8.40706093100804e-05,102.29007911682129
19,0.038537536454430664,0.98725,0.7165369894817472,0.8323,8.226807428193681e-05,103.07901167869568
20,0.0348698533974908,0.988775,0.7204296775389463,0.8312,8.039141626788302e-05,103.46449851989746
21,0.03269895936433459,0.989375,0.7570288480114192,0.8246,7.84451563014507e-05,98.62706255912781
22,0.031050515325120067,0.990025,0.7055965505378321,0.8385,7.643398309337124e-05,99.11950492858887
23,0.02775041989852034,0.9909,0.6893429532672278,0.8411,7.43627417360609e-05,99.08497190475464
24,0.027714380297873868,0.991225,0.7071042813939974,0.838,7.223642203136868e-05,98.41636633872986
25,0.021262012034274812,0.993625,0.7183667221309618,0.8416,7.006014646970685e-05,98.81374549865723
26,0.020126367196586215,0.99335,0.755796830254863,0.8408,6.783915788952266e-05,99.31699681282043
27,0.021643336989038652,0.9927,0.7133861441943794,0.8431,6.557880684684142e-05,98.26232385635376
28,0.015118972204790044,0.995175,0.7499621741049923,0.8378,6.32845387253083e-05,98.19227766990662
29,0.01572796418729704,0.995,0.7175626568917185,0.8437,6.096188061778222e-05,97.88888120651245
30,0.015258753196925682,0.995325,0.7258999699629377,0.8447,5.861642801108503e-05,98.28285098075867
31,0.013160548883381853,0.995775,0.7862990454524755,0.836,5.625383130598369e-05,97.94789433479309
32,0.010870802982652823,0.9967,0.7691368113793433,0.8398,5.387978220487977e-05,98.17024970054626
33,0.01078311241936717,0.996625,0.757996172117535,0.84,5.149999999999999e-05,98.34063076972961
34,0.010311202231698917,0.996575,0.7669127779047936,0.8421,4.912021779512022e-05,98.34638929367065
35,0.008664511355775903,0.9974,0.7483423564386554,0.8457,4.67461686940163e-05,98.27013158798218
36,0.006906172172869173,0.997875,0.7620136117689311,0.8513,4.438357198891495e-05,98.37746071815491
37,0.005668526508212289,0.998325,0.7803519361337646,0.8459,4.2038119382217775e-05,98.20458269119263
38,0.006489473892890419,0.99795,0.8028893810914364,0.8459,3.97154612746917e-05,98.27755069732666
39,0.005371733487078563,0.99825,0.8127673489573412,0.8463,3.7421193153158574e-05,98.20949029922485
40,0.004789032024413427,0.99845,0.7799184719661251,0.8446,3.516084211047732e-05,98.70329403877258
41,0.0036449600129115425,0.998925,0.7777423726783134,0.8497,3.293985353029314e-05,98.64652705192566
42,0.003335629760316169,0.999075,0.7823362901338377,0.8468,3.0763577968631325e-05,98.97952771186829
43,0.0026528471185106356,0.999325,0.7555104449787701,0.851,2.8637258263939108e-05,98.32282280921936
44,0.002438450206221796,0.999375,0.7617036598039675,0.8531,2.656601690662875e-05,98.26597046852112
45,0.0018333712040127467,0.999575,0.7737285977697931,0.8509,2.4554843698549307e-05,98.71326184272766
46,0.001380862137861959,0.999625,0.7645890868213959,0.8525,2.2608583732116983e-05,98.37608647346497
47,0.0011379567055289045,0.99985,0.7853317851866944,0.8536,2.07319257180632e-05,98.14975118637085
48,0.0012832441924886552,0.999725,0.7979732312578941,0.8534,1.8929390689919606e-05,98.17252707481384
49,0.0013294857107295456,0.99965,0.7916931990200188,0.8523,1.7205321112452447e-05,98.4621033668518
50,0.0008751559058669045,0.999825,0.7726333691008389,0.8571,1.5563870420284494e-05,98.50573062896729
51,0.0005945604719379616,0.999925,0.769816316713221,0.858,1.4008993011907256e-05,98.23215007781982
52,0.0005312919954152108,0.999925,0.7592665414605697,0.8593,1.2544434723188725e-05,98.24900364875793
53,0.0004319518396487183,0.99995,0.7702532634470554,0.8583,1.117372380332655e-05,98.27352595329285
54,0.00045286681132047305,0.99985,0.769186301133089,0.8556,9.900162414986806e-06,98.9132125377655
55,0.00034864434028360165,0.999975,0.7817499062800314,0.8593,8.726818679104784e-06,98.7816059589386
56,0.0004429132253147941,0.9999,0.7807699084220804,0.8551,7.656519283512997e-06,98.75799489021301
57,0.00022975374928701058,1.0,0.760157475818228,0.8611,6.691842673202593e-06,98.63905835151672
58,0.0001432799589366823,1.0,0.7453031436354272,0.8623,5.835112838623496e-06,99.09512829780579
59,0.00018096991874219838,1.0,0.7537919309005141,0.8615,5.088393716987872e-06,98.82003664970398
60,0.00014600797366988444,1.0,0.7496780424118391,0.8613,4.4534842200646165e-06,98.74020385742188
61,0.00021499507890955556,0.99995,0.7470587060865713,0.8635,3.931913900443324e-06,98.49562382698059
62,0.0001528494678460902,0.999975,0.7640757664055098,0.8632,3.5249392667081207e-06,98.34903979301453
63,0.00012685035160274084,1.0,0.7578675839755684,0.8603,3.233540756398454e-06,98.96041965484619
64,9.445011146340221e-05,1.0,0.7582586731096963,0.8604,3.0584203740491383e-06,98.79802513122559
65,0.00011882398997009887,1.0,0.767249970407132,0.8613,3e-06,98.1824836730957
66,0.00016513441452806318,1.0,0.7578315288821236,0.8623,3.0584203740491383e-06,98.10136914253235
67,9.664433098026848e-05,1.0,0.7622524893281516,0.862,3.2335407563984486e-06,99.22374153137207
68,0.00011534308226974588,0.999975,0.7570952733189333,0.8591,3.52493926670812e-06,98.51363968849182
69,7.638842943118789e-05,1.0,0.767641488644667,0.862,3.931913900443322e-06,98.3262586593628
70,0.0001392419554889244,0.999975,0.7715162892935332,0.8611,4.453484220064615e-06,98.49718523025513
71,0.00010208074349722551,1.0,0.7729635781609221,0.8624,5.088393716987863e-06,98.29231286048889
72,0.00011618429921931579,0.999975,0.7786057035007048,0.8604,5.835112838623486e-06,98.33887648582458
73,0.0001287366183806739,0.999975,0.7805076795898028,0.8603,6.691842673202582e-06,98.20453333854675
74,7.187396577076015e-05,1.0,0.7879907088749344,0.8631,7.656519283512985e-06,98.71048283576965
75,8.035293446152992e-05,1.0,0.7801804754182348,0.861,8.726818679104771e-06,98.30015420913696
76,8.89881519973926e-05,1.0,0.8056568895064061,0.8592,9.90016241498679e-06,98.2573914527893
77,0.00015371630100069638,1.0,0.8107128125007032,0.8617,1.1173723803326532e-05,98.56757640838623
78,0.000165728319951387,1.0,0.8156238799462561,0.8595,1.2544434723188705e-05,98.48272037506104
79,0.00026132525215259364,0.99995,0.8219705091307405,0.8609,1.4008993011907233e-05,97.91080021858215
80,0.00038080072731046217,0.99995,0.8164174571992596,0.8584,1.5563870420284463e-05,98.43543004989624
81,0.00041459789168525276,0.99995,0.819078659931122,0.8583,1.7205321112452416e-05,98.42395997047424
