epoch,train_loss,val_loss,lr,time
1,0.04345744279395232,0.024366830962650275,0.0001,910.7921469211578
2,0.023408844542486228,0.023466893668295047,9.990232305719945e-05,958.0061647891998
3,0.02131930720275161,0.019609517204242016,9.960967771506666e-05,950.783430814743
4,0.020108501661311964,0.020016388036310673,9.912321891107009e-05,954.7872860431671
5,0.018543115066599915,0.017368609158305126,9.844486647586723e-05,953.4616057872772
6,0.017775203969500872,0.018322572923786598,9.757729755661011e-05,949.589305639267
7,0.017235491194644535,0.016536565988811605,9.652393605146844e-05,949.7659258842468
8,0.01697459811687298,0.016154770175456454,9.528893909706797e-05,953.0633506774902
9,0.016418859015764863,0.01669437788563584,9.387718066217124e-05,954.7225396633148
10,0.015802586063657,0.01802590538516914,9.229423231234974e-05,945.0622050762177
11,0.015513399093486797,0.015498687171402875,9.054634122155989e-05,945.8145728111267
12,0.01548423097822173,0.014860020130189187,8.864040551740155e-05,949.0013029575348
13,0.015230164414635677,0.014765442977018586,8.658394705735986e-05,948.0261402130127
14,0.014792256389112994,0.015237132681174836,8.438508174347008e-05,951.0864617824554
15,0.014723364118186907,0.015195129917712387,8.205248749256013e-05,960.5802102088928
16,0.014415372195171899,0.014961027313844053,7.959536998847742e-05,958.870680809021
17,0.014484187956342752,0.01385883163284818,7.702342635146032e-05,958.5881175994873
18,0.0140221260584377,0.015347397954570591,7.434680686803489e-05,960.7699484825134
19,0.014126178042042529,0.01364128500300058,7.157607493247108e-05,961.5527639389038
20,0.01399665650772466,0.013234040563191296,6.872216535789155e-05,961.5723528862
21,0.01372821531740242,0.01400840454179486,6.579634122155988e-05,953.0304136276245
22,0.013684580612114106,0.014631490881016495,6.28101494146603e-05,949.780207157135
23,0.013510715396239839,0.014134334605358062,5.9775375071993364e-05,950.8780479431152
24,0.013471492441456722,0.013290614835969215,5.670399506143306e-05,953.765335559845
25,0.01321756892687716,0.012920745921859501,5.3608130716701005e-05,954.7621514797211
26,0.013318220254076623,0.012953081313486494,5.049999999999999e-05,945.0913274288177
27,0.01297516537798119,0.01285799219349929,4.7391869283298976e-05,956.4419605731964
28,0.0128858863413548,0.013739780868924812,4.429600493856693e-05,945.3663618564606
29,0.012930357302592574,0.013296833725372723,4.122462492800662e-05,950.9900333881378
30,0.012733145644245991,0.01271974177894379,3.8189850585339674e-05,954.5748620033264
31,0.012687122005562502,0.012716293894608906,3.5203658778440106e-05,945.6857602596283
32,0.012654370633649758,0.012649691501341829,3.227783464210844e-05,947.596268415451
33,0.012500889298516785,0.01258031815640765,2.942392506752889e-05,949.278345823288
34,0.012440175185750784,0.012561440478514778,2.6653193131965075e-05,943.3094267845154
35,0.01230974352715173,0.012331019516675434,2.3976573648539646e-05,946.5820112228394
36,0.012288843301906325,0.012376002728118809,2.1404630011522576e-05,948.8896384239197
37,0.012242940366375207,0.01238962956447872,1.8947512507439848e-05,950.8264856338501
38,0.012169891084683524,0.012343244505362637,1.66149182565299e-05,949.508364200592
39,0.012131983315272406,0.01221734386069888,1.4416052942640132e-05,950.3573083877563
40,0.012078303173077346,0.01218924342671734,1.235959448259843e-05,949.5512266159058
41,0.012043373689761964,0.012122073111449017,1.04536587784401e-05,952.2458503246307
42,0.011973511802846159,0.012067424615101735,8.70576768765026e-06,952.9709029197693
43,0.011968683063898278,0.012065745348649083,7.122819337828748e-06,949.1260693073273
44,0.011939361733759101,0.012066539371633954,5.711060902932039e-06,949.495358467102
45,0.01190153868419343,0.01203975769575822,4.476063948531556e-06,941.8654708862305
46,0.01189274963890684,0.012031038943250928,3.4227024433898985e-06,933.3818774223328
47,0.011873429188312128,0.012035547678760432,2.555133524132766e-06,934.1853177547455
48,0.011860334268375032,0.012042041312595573,1.8767810889299075e-06,946.4961841106415
49,0.011854520443848323,0.012003127238798648,1.3903222849333503e-06,948.9523403644562
50,0.011850681496334487,0.012007307231323709,1.0976769428005576e-06,945.6575872898102
51,0.011847025306959604,0.012004873932151277,1e-06,955.9601259231567
52,0.011848821940071795,0.011997296093587139,1.0976769428005578e-06,947.0073940753937
53,0.011851070927798578,0.012000718218094985,1.3903222849333452e-06,946.1794617176056
54,0.011856218018494118,0.011997881120096449,1.8767810889299138e-06,943.3111808300018
55,0.011858792272235812,0.012007470768150112,2.5551335241327563e-06,947.3160173892975
56,0.01187669136882599,0.012004869978302458,3.4227024433898943e-06,951.9734311103821
57,0.011884172987085821,0.012006103270473557,4.4760639485315525e-06,946.9528822898865
58,0.011905015529743556,0.012035663840959037,5.711060902932025e-06,945.6058962345123
59,0.011910362450149039,0.012074110375871078,7.122819337828757e-06,950.8163423538208
60,0.011934381850256488,0.012029372026434663,8.70576768765025e-06,951.4778506755829
61,0.011948413329049088,0.01204992274843464,1.0453658778440085e-05,945.1007633209229
